Suspeito,id_campo,Setor,status,LON,LAT
0,1,6,False,-42.029158,-22.970312
0,2,6,False,-42.02901,-22.972554
1,4,2,False,-42.027987,-22.973004
0,5,6,False,-42.028142,-22.972077
0,6,6,False,-42.029851,-22.972532
0,7,4,False,-42.031034,-22.969786
0,8,4,False,-42.031052,-22.969811
0,9,4,False,-42.031004,-22.969797
0,10,4,False,-42.031033,-22.969843
0,11,4,False,-42.028812,-22.969813
0,12,6,False,-42.029737,-22.96995
0,13,4,False,-42.02826,-22.969438
0,14,5,False,-42.024744,-22.969478
0,15,5,False,-42.02469,-22.969705
1,16,7,False,-42.021429,-22.969804
0,17,4,False,-42.028009,-22.969884
0,18,6,False,-42.028111,-22.969933
0,19,6,False,-42.027424,-22.970624
0,20,6,False,-42.027408,-22.971013
0,21,6,False,-42.027553,-22.971413
0,22,6,False,-42.026998,-22.972363
0,23,6,False,-42.027149,-22.972591
0,24,6,False,-42.026817,-22.972552
0,25,6,False,-42.026522,-22.972222
0,26,6,False,-42.026536,-22.97236
0,27,6,False,-42.02639,-22.971872
0,28,6,False,-42.026562,-22.971739
0,29,7,False,-42.025097,-22.971556
0,30,7,False,-42.024691,-22.971357
0,31,7,False,-42.024619,-22.971405
0,32,7,False,-42.023031,-22.971419
0,33,7,False,-42.022684,-22.971691
0,34,7,False,-42.022131,-22.971738
0,35,7,False,-42.022145,-22.971821
0,36,7,False,-42.020766,-22.97098
0,37,7,False,-42.020959,-22.970717
1,38,7,False,-42.021114,-22.970715
1,39,7,False,-42.021078,-22.970662
0,40,7,False,-42.021122,-22.970394
1,41,7,False,-42.020371,-22.970256
0,42,3,False,-42.021564,-22.972753
0,43,3,False,-42.021607,-22.972852
0,44,3,False,-42.021646,-22.972961
0,45,3,False,-42.021686,-22.97306
0,46,3,False,-42.02197,-22.972654
0,47,3,False,-42.02316,-22.972773
0,48,3,False,-42.02326,-22.97278
0,49,3,False,-42.023344,-22.972637
0,50,3,False,-42.024147,-22.973201
1,51,3,False,-42.025062,-22.972769
0,52,3,False,-42.025154,-22.9727
0,53,3,False,-42.025631,-22.972785
0,54,3,False,-42.0258,-22.972704
1,55,2,False,-42.026416,-22.97314
0,56,2,False,-42.027128,-22.973044
0,57,2,False,-42.027832,-22.973201
1,58,2,False,-42.027829,-22.973289
0,59,2,False,-42.028,-22.973175
0,60,2,False,-42.02811,-22.973234
0,61,2,False,-42.030203,-22.972954
0,62,6,False,-42.030492,-22.972634
0,63,6,False,-42.031025,-22.972124
1,64,6,False,-42.031108,-22.972319
0,65,6,False,-42.030997,-22.971864
0,66,6,False,-42.030906,-22.971171
0,67,6,False,-42.030718,-22.971639
0,68,6,False,-42.031038,-22.970112
0,69,6,False,-42.03106,-22.970282
0,70,6,False,-42.031059,-22.970357
1,71,6,False,-42.030145,-22.972065
0,72,6,False,-42.029061,-22.972338
1,73,6,False,-42.028763,-22.972089
1,74,6,False,-42.028686,-22.971681
1,75,6,False,-42.029613,-22.970674
0,77,6,False,-42.029912,-22.97111
0,78,6,False,-42.029766,-22.970924
0,79,2,False,-42.029552,-22.973173
0,80,7,False,-42.025361,-22.971008
0,81,7,False,-42.024994,-22.971054
1,82,7,False,-42.024794,-22.971085
0,83,2,False,-42.028197,-22.972878
0,84,7,False,-42.024272,-22.970941
0,85,7,False,-42.024426,-22.970875
0,86,7,False,-42.024482,-22.970908
1,87,7,False,-42.024169,-22.970515
0,88,7,False,-42.024085,-22.97026
0,89,7,False,-42.024509,-22.97024
0,90,7,False,-42.023632,-22.970585
1,91,7,False,-42.023463,-22.97004
1,92,5,False,-42.023089,-22.969505
0,93,5,False,-42.022021,-22.969567
0,94,7,False,-42.022746,-22.970551
0,95,7,False,-42.022728,-22.971249
0,96,7,False,-42.021615,-22.972014
0,97,7,False,-42.023006,-22.972414
0,98,7,False,-42.023085,-22.972348
0,99,7,False,-42.023407,-22.972149
0,100,6,False,-42.026961,-22.970841
0,101,6,False,-42.02669,-22.970862
0,102,6,False,-42.026603,-22.97064
0,103,6,False,-42.026301,-22.97084
0,104,6,False,-42.026342,-22.970959
0,105,7,False,-42.025818,-22.971293
0,106,7,False,-42.025688,-22.971473
0,107,7,False,-42.023324,-22.971356
1,108,7,False,-42.023728,-22.97102
0,109,7,False,-42.02197,-22.971308
1,110,7,False,-42.025433,-22.972411
0,111,7,False,-42.025485,-22.972238
0,112,7,False,-42.021089,-22.969847
0,113,7,False,-42.024463,-22.971683
0,114,7,False,-42.026062,-22.970548
0,115,2,False,-42.028191,-22.973936
0,116,2,False,-42.028873,-22.973976
0,117,2,False,-42.028649,-22.973767
0,118,2,False,-42.030466,-22.973679
0,119,2,False,-42.030698,-22.973876
1,120,2,False,-42.030888,-22.973761
0,121,2,False,-42.030552,-22.974127
0,122,2,False,-42.030395,-22.974611
0,123,2,False,-42.029629,-22.974894
0,124,2,False,-42.029343,-22.97503
0,125,2,False,-42.029287,-22.97514
